category,in_stock_count
/bazar farm/,35
/bazar farm/Acessórios/,46
/bazar farm/Blusa/,123
/bazar farm/Body/,6
/bazar farm/Calça/,137
/bazar farm/Calçados/,58
/bazar farm/Calçados/Sandália/,20
/bazar farm/Calçados/Tênis/,2
/bazar farm/camisa/,42
/bazar farm/Carnaval/,3
/bazar farm/Casaco/,62
/bazar farm/kimono/,7
/bazar farm/Linha Quero/,4
/bazar farm/Macacão/,30
/bazar farm/Praia/,50
/bazar farm/Saia/,39
/bazar farm/Short/,32
/bazar farm/top/,111
/bazar farm/t-shirt/,14
/bazar farm/Vestido/,123
/Fábula e Bento/Acessório/,1
/Fábula e Bento/Blusa e Camisa/,30
/Fábula e Bento/Calça/,6
/Fábula e Bento/Casaco/,3
/Fábula e Bento/Macacão/,16
/Fábula e Bento/Saia/,10
/Fábula e Bento/Short e Bermuda/,9
/Fábula e Bento/Vestido/,26
/Moda Feminina/,27
/Moda Feminina/Acessórios/,46
/Moda Feminina/Acessórios/bijoux/,2
/Moda Feminina/Acessórios/bolsas/,17
/Moda Feminina/Acessórios/diversos/,1
/Moda Feminina/Acessórios/garrafas/,25
/Moda Feminina/Acessórios/mochilas/,10
/Moda Feminina/Blusa/,75
/Moda Feminina/Body/,9
/Moda Feminina/Calça/,110
/Moda Feminina/Calçados/,57
/Moda Feminina/Calçados/Sandália/,5
/Moda Feminina/Calçados/Sapato/,1
/Moda Feminina/Camisa/,31
/Moda Feminina/Carnaval/,60
/Moda Feminina/Casa/,3
/Moda Feminina/Casaco/,77
/Moda Feminina/Kimono/,7
/Moda Feminina/Macacão/,33
/Moda Feminina/me leva/,433
/Moda Feminina/Praia/,8
/Moda Feminina/Saia/,49
/Moda Feminina/Short/,64
/Moda Feminina/top/,28
/Moda Feminina/t-shirt/,24
/Moda Feminina/Underwear/,1
/Moda Feminina/Vestido/,211
