city,total_sales_value
,378616.1299999999
"Bogotá, D.c.",130386.36
Lima,66291.04999999996
Medellín,32432.519999999997
Ciudad Autónoma de Buenos Aires,15011.840000000004
Floridablanca,8928.64
Tunja,7565.600000000001
Montevideo,6995.170000000001
Beccar,6806.8
Cali,6341.860000000001
Boulogne,5511.799999999999
ÁLVARO OBREGÓN,5105.8
Envigado,4395.44
Barranquilla,4208.3
Huancayo,4040.3999999999996
BENITO JUÁREZ,3395.24
Cota,3012.7799999999997
Pereira,2788.8
Martín Coronado,2788.8
Manizales,2696.76
Itagüí,2259.6
Quilmes Oeste,2228.8
Ibagué,1898.4
Bucaramanga,1537.2
Moreno,1420.72
Chía,1297.24
Retiro,1185.8000000000002
Rosário,1166.25
Piedecuesta,1073.8
Ñuñoa,977.2
Barichara,977.2
San Andrés,822.5
Cartagena De Indias,768.6
Rionegro,672.0
Zarate,628.6
Río Colorado,598.5
Punta Del Este,557.2
Kilometro 112,554.4
Lo Barnechea,488.6
Maynas,460.6
LA PAZ,284.25
Las Condes,208.6
Hohenau,179.0
IZTAPALAPA,138.6
